ts,master_metadata_track_name,master_metadata_album_artist_name,master_metadata_album_album_name,ms_played,platform
2024-01-01T10:00:00,Blinding Lights,The Weeknd,After Hours,200040,android
2024-01-01T10:03:30,Shape of You,Ed Sheeran,Divide,233713,ios
2024-01-01T10:07:00,Levitating,Dua Lipa,Future Nostalgia,203064,desktop
2024-01-01T10:10:30,As It Was,Harry Styles,Harry's House,167303,android
2024-01-01T10:13:00,Stay,The Kid LAROI,F*CK LOVE 3,141000,ios
2024-01-01T10:15:30,Flowers,Miley Cyrus,Endless Summer Vacation,200673,desktop
2024-01-01T10:19:00,Anti-Hero,Taylor Swift,Midnights,200690,android
2024-01-01T10:22:30,Unholy,Sam Smith,Gloria,156943,ios
2024-01-01T10:25:00,Blinding Lights,The Weeknd,After Hours,200040,desktop
2024-01-01T10:28:30,As It Was,Harry Styles,Harry's House,167303,android
2024-01-01T10:32:00,Levitating,Dua Lipa,Future Nostalgia,203064,ios
2024-01-01T10:35:30,Anti-Hero,Taylor Swift,Midnights,200690,desktop
